"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri May 15 13:50:59 UTC 2026","Fri May 15 13:51:00 UTC 2026","697","PetStore API Test Suite","Pet - Get Pet By ID Tests","petstore.pet.GetPetByIdTests","petstore.pet.GetPetByIdTests","Pet_Get_GetPetById_Unauthorized_MissingApiKey","Pet_Get_GetPetById_Unauthorized_MissingApiKey",""
"passed","Fri May 15 13:51:15 UTC 2026","Fri May 15 13:51:17 UTC 2026","1851","PetStore API Test Suite","Workflows - Complete CRUD Workflow Tests","petstore.workflows.CompleteCRUDWorkflowTests","petstore.workflows.CompleteCRUDWorkflowTests","Workflow_Pet_CompleteWorkflowWithCategoryAndTags_Success","Workflow_Pet_CompleteWorkflowWithCategoryAndTags_Success",""
"passed","Fri May 15 13:51:18 UTC 2026","Fri May 15 13:51:20 UTC 2026","1439","PetStore API Test Suite","Workflows - Data Consistency Workflow Tests","petstore.workflows.DataConsistencyWorkflowTests","petstore.workflows.DataConsistencyWorkflowTests","Workflow_DataConsistency_DeletePetReferencedInOrders_Success","Workflow_DataConsistency_DeletePetReferencedInOrders_Success",""
"failed","Fri May 15 13:51:02 UTC 2026","Fri May 15 13:51:03 UTC 2026","338","PetStore API Test Suite","Store - Get Inventory Tests","petstore.store.GetInventoryTests","petstore.store.GetInventoryTests","Store_Get_Inventory_Unauthorized_MissingApiKey","Store_Get_Inventory_Unauthorized_MissingApiKey",""
"passed","Fri May 15 13:51:06 UTC 2026","Fri May 15 13:51:06 UTC 2026","363","PetStore API Test Suite","Store - Place Order Tests","petstore.store.PostPlaceOrderTests","petstore.store.PostPlaceOrderTests","Store_Post_PlaceOrder_Success_ApprovedStatus","Store_Post_PlaceOrder_Success_ApprovedStatus",""
"passed","Fri May 15 13:50:57 UTC 2026","Fri May 15 13:50:57 UTC 2026","380","PetStore API Test Suite","Pet - Update Pet Tests","petstore.pet.PutUpdatePetTests","petstore.pet.PutUpdatePetTests","Pet_Put_UpdatePet_Unauthorized","Pet_Put_UpdatePet_Unauthorized",""
"passed","Fri May 15 13:51:04 UTC 2026","Fri May 15 13:51:04 UTC 2026","358","PetStore API Test Suite","Store - Delete Order Tests","petstore.store.DeleteOrderTests","petstore.store.DeleteOrderTests","Store_Delete_Order_BadRequest_NegativeId","Store_Delete_Order_BadRequest_NegativeId",""
"failed","Fri May 15 13:51:09 UTC 2026","Fri May 15 13:51:10 UTC 2026","724","PetStore API Test Suite","User - Update User Tests","petstore.user.PutUpdateUserTests","petstore.user.PutUpdateUserTests","User_Put_UpdateUser_BadRequest_InvalidUserObject","User_Put_UpdateUser_BadRequest_InvalidUserObject",""
"failed","Fri May 15 13:51:21 UTC 2026","Fri May 15 13:51:22 UTC 2026","1090","PetStore API Test Suite","Workflows - Data Consistency Workflow Tests","petstore.workflows.DataConsistencyWorkflowTests","petstore.workflows.DataConsistencyWorkflowTests","Workflow_DataConsistency_OrderForNonExistentPet_BadRequest","Workflow_DataConsistency_OrderForNonExistentPet_BadRequest",""
"failed","Fri May 15 13:50:50 UTC 2026","Fri May 15 13:50:50 UTC 2026","382","PetStore API Test Suite","Pet - Find Pets By Status Tests","petstore.pet.GetFindPetsByStatusTests","petstore.pet.GetFindPetsByStatusTests","Pet_Get_FindPetsByStatus_BadRequest_EmptyStatus","Pet_Get_FindPetsByStatus_BadRequest_EmptyStatus",""
"failed","Fri May 15 13:51:07 UTC 2026","Fri May 15 13:51:07 UTC 2026","360","PetStore API Test Suite","User - Create Users With Array Tests","petstore.user.PostCreateUsersWithArrayTests","petstore.user.PostCreateUsersWithArrayTests","User_Post_CreateUsersWithArray_BadRequest_ArrayWithInvalidUser","User_Post_CreateUsersWithArray_BadRequest_ArrayWithInvalidUser",""
"passed","Fri May 15 13:50:54 UTC 2026","Fri May 15 13:50:55 UTC 2026","753","PetStore API Test Suite","Pet - Update Pet Tests","petstore.pet.PutUpdatePetTests","petstore.pet.PutUpdatePetTests","Pet_Put_UpdatePet_Success_AllFields","Pet_Put_UpdatePet_Success_AllFields",""
"passed","Fri May 15 13:51:10 UTC 2026","Fri May 15 13:51:11 UTC 2026","364","PetStore API Test Suite","User - Create Users With List Tests","petstore.user.PostCreateUsersWithListTests","petstore.user.PostCreateUsersWithListTests","User_Post_CreateUsersWithList_Success_ValidList","User_Post_CreateUsersWithList_Success_ValidList",""
"broken","Fri May 15 13:51:10 UTC 2026","Fri May 15 13:51:10 UTC 2026","367","PetStore API Test Suite","User - Get User By Name Tests","petstore.user.GetUserByNameTests","petstore.user.GetUserByNameTests","User_Get_GetUserByName_Success_SpecialCharactersUsername","User_Get_GetUserByName_Success_SpecialCharactersUsername",""
"failed","Fri May 15 13:51:12 UTC 2026","Fri May 15 13:51:13 UTC 2026","721","PetStore API Test Suite","User - Login User Tests","petstore.user.GetLoginUserTests","petstore.user.GetLoginUserTests","User_Get_LoginUser_BadRequest_InvalidUsernameValidPassword","User_Get_LoginUser_BadRequest_InvalidUsernameValidPassword",""
